"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,984,"Spinflo Caprice MK3 4 Burner Caravan Hob Oven & Grill",P,SOH72999-SP,,,,Right,"<h1>Spinflo Caprice MK3 4 Burner Caravan Cooker With Pan Storage</h1> <p>A high quality combination oven, grill and hob unit the Spinflo Caprice MK 3 Burner Caravan Cooker complete with pan storage provides optimum use in caravans, motorhomes, boats and campervans providing space efficiency and style alongside an ample sized capacity which provides the perfect amount of space for a wide range of cooking which the whole family can enjoy.</p> <h3>A durable, stylish and reliable caravan hob, oven &amp; grill combination unit</h3> <p>Featuring a solid, rattle free construction, the Spinflo Caprice MK3 4 Burner Caravan Cooker has 6 standard control knobs, oven and separate grill with a multi-functional pan with detachable handle and trivet included for ease of use.</p> <p>This Spinflo Caprice MK3 4 Burner 3/4 Caravan Cooker model has a reflective grill and oven door, safety glass lid for durability and removable oven door for easy cleaning.</p> <p><strong>Please note this is the Caprice model with the reflective doors and not the smoked black as shown in the image.&nbsp;</strong></p> <h3><span>Spinflo Caprice MK3 4 Burner Caravan Hob Oven &amp; Grill features<br /> </span></h3> <ul> <li>Seamless stainless steel oven &amp; separate grill</li> <li>3 large &amp; 1 small burner</li> <li>Flame failure device fitted to all valves</li> <li>Caprice 4 burner 3/4 model with pan storage below</li> <li>Removable oven door allows for easy cleaning&nbsp;</li> <li><span class=""productlist12"">Please ensure you have measured the oven correctly before purchasing, re-stock fees can apply if an oven has been opened.</span></li> <li><span class=""productlist12"" style=""color: #000000;""><span class=""productlist12""><span class=""productlist12"">All gas appliances must be fitted by a qualified gas engineer, failure to comply will affect your warranty.</span></span></span></li> <li><span class=""productlist12"" style=""color: #000000;""><span class=""productlist12""><span class=""productlist12""><span style=""background-color: #ffffff; color: #ff0000;"">Stock is very limited on this discontinued Cooker - reflective finish door version</span></span></span></span></li> </ul>",599.95,0.00,0.00,0.00,0.0000,N,,50.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",0,0,"Caravan, Campervan & Motorhome/Kitchen Equipment;Caravan, Campervan & Motorhome/Kitchen Equipment/Ovens, Grills & Cookers;Caravan, Campervan & Motorhome",8706,m/254/Caprice-2__52214.jpg,"Thetford Spinflo Caprice MK3 4 Burner 1/2 Height Caravan Hob Oven & Grill",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spinflo, caprice, 4 burner, cooker, oven, cooker, grill, spinflow, SOH72999-SP","Spinflo Caprice MK3 4 Burner Caravan Hob Oven & Grill With Pan Storage","spinflo, caprice, mk3, 4 burner, 1/2 height, hob, oven, grill, cooker, caravan, boat, motorhome, campervan, SOH72999-SP,","The Spinflo Caprice MK3 Caravan Cooker features a 4 burner hob, oven and separate  pan storage",,,,New,N,N,,N,,,-8,"Default Tax Class",,N,/thetford/caprice/oven/,,,SOH72999-SP,,"""Model=Caprice MK3"";""Dimensions H  (mm)=844"";""Dimensions W (mm)=513"";""Dimensions D (mm)=500"";""Glass Lid=Yes"";Fuel=LPG;""Grill Capacity=13L"";""Grill Output=1.6kW"";""Oven Capacity=36L"";""Oven Output=1.5kW"";""No. Of Hobs=4"";""Hob Output - Gas=1x 1kW, 3x 1.5kW"";""Hob Output - Electric=N/A"";""Ignition Type=12v"";""Weight (kg)=25Kg"";SKU=SOH72999-SP"
Product,985,"Thetford Spinflo 2 Burner Hotplate Boat and Caravan Hob and Grill",P,SHT27699-SP,,,,Right,"<h1>Thetford Spinflo 2 Burner Hotplate Hob and Grill</h1> <h3><span style=""color: #ff0000;"">Please note - Due to a production shortage with Thetford, all Thetford cookers are shipping without grill pans - these will be sent to follow once available</span></h3> <p>Featuring a twin burner hob and grill, the Thetford Spinflo 2 Burner Hotplate comes supplied with pan supports and a grill pan, with each burner featuring individual controls and safeguarding flame failure devices.</p> <p>Ideal for use in boats, caravans, campervans and motorhomes, the Thetford Spinflo 2 Burner Hotplate Hob and Grill is compact, stylish, powerful and durable.</p> <h3>Thetford Spinflo 2 Burner Hotplate Hob And Grill features</h3> <ul> <li>Two hob burners</li> <li>Flame failure safety cut offs on all burners</li> <li>Suitable for use with either butane or propane gas</li> <li>Powerful grill</li> <li>Grill pan</li> <li>Pan supports</li> <li>Stainless steel lid</li> <li>Fully self-enclosed portable unit</li> <li>Stainless Steel</li> </ul> <p>Accessories (included):</p> <ul> <li>multi-function pan</li> <li>pan trivet</li> <li>detachable handle</li> </ul> <p>Specification:</p> <ul> <li>Weight: 6.5 kg</li> <li>Dimensions: 442 x 344 x 152 mm (WxDxH)</li> <li>Total Heat Input: 4.5kW Burner &ndash; 2 x 1.5kW,</li> <li>Grill &ndash; 1.5kW</li> <li>Operating Pressures:&nbsp; Propane (G31) 37mbar Butane (G30) 28mbar&nbsp; - for bottle mounted regulators<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Propane (G31) 30mbar Butane (G30) 30mbar&nbsp; - for 2 stage bulkhead regulators</li> </ul>",269.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,N,N,"Sent on a next working day carrier!","by product",0,0,"Caravan, Campervan & Motorhome/Kitchen Equipment;Caravan, Campervan & Motorhome/Kitchen Equipment/Hobs;Caravan, Campervan & Motorhome/Kitchen Equipment/Ovens, Grills & Cookers;Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Kitchen Equipment/Grills",7025,n/435/SHT27699_-_Hotplate_with_lid__72542.jpg,"Thetford 2 burner hob and grill ",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHT27647, 27647, 2 burner, grill, hob, hotplate, spinflow","Thetford Spinflo 2 Burner Hotplate Caravan & Boat Hob and Grill ","thetford, spinflo, 2 burner, hotplate, caravan, motorhome, hob, grill, campervan, boat, ","The Thetford Spinflo 2 Burner Hotplate is a stylish & compact Hob & Grill combination unit sent on a Next Working Day delivery if in stock!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/thetford/spinflo-2-burner-hotplate-boat-and-caravan-hob-and-grill/,,,SHT27699-SP,,"Height=152mm;Width=442mm;""Depth (including gas fitting)=405mm"";""Depth (excluding gas fitting)=344mm"";""Gas=Butane or Propane"";""Gas Fitting=8mm"""
Product,986,"Sargent EC328 Complete Caravan & Motorhome Electrical Kit",P,K328,,Sargent,,Right,"<p><!--[if gte mso 9]><xml>  <w:WordDocument>   <w:View>Normal</w:View>   <w:Zoom>0</w:Zoom>   <w:PunctuationKerning/>   <w:ValidateAgainstSchemas/>   <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid>   <w:IgnoreMixedContent>false</w:IgnoreMixedContent>   <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText>   <w:Compatibility>    <w:BreakWrappedTables/>    <w:SnapToGridInCell/>    <w:WrapTextWithPunct/>    <w:UseAsianBreakRules/>    <w:DontGrowAutofit/>   </w:Compatibility>   <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel>  </w:WordDocument> </xml><![endif]--></p> <p><!--[if gte mso 9]><xml>  <w:LatentStyles DefLockedState=""false"" LatentStyleCount=""156"">  </w:LatentStyles> </xml><![endif]--><!--[if gte mso 10]> <style>  /* Style Definitions */  table.MsoNormalTable 	{mso-style-name:""Table Normal""; 	mso-tstyle-rowband-size:0; 	mso-tstyle-colband-size:0; 	mso-style-noshow:yes; 	mso-style-parent:""""; 	mso-padding-alt:0cm 5.4pt 0cm 5.4pt; 	mso-para-margin:0cm; 	mso-para-margin-bottom:.0001pt; 	mso-pagination:widow-orphan; 	font-size:10.0pt; 	font-family:""Times New Roman""; 	mso-ansi-language:#0400; 	mso-fareast-language:#0400; 	mso-bidi-language:#0400;} </style> <![endif]--></p> <h1 class=""MsoNormal"">Sargent EC328 Complete PMS (Power Management System)</h1> <p class=""MsoNormal"">Specifically designed for customers who are building their own motorhome or caravan conversion and require a 25 amp charging system (with added features!), the Sargent EC328 Complete Electrical Kit is the perfect power management system choice for small to medium manufacturers or people building one off motorhomes!<br /> <br /> Containing an EC328 Power Supply Unit (PSU) the Sargent Complete caravan and motorhome Electrical Kit also comes with an easy to use digital display EC328 control panel (connected via a 5 metre length data control lead).</p> <p class=""MsoNormal"">By plugging into the EC328, the DIY harness provides all of the available 230v and 12v inputs and outputs to terminate into.&nbsp;</p> <h3 class=""MsoNormal"">Sargent EC328 Complete Caravan &amp; Motorhome Electrical Kit features:&nbsp;</h3> <ul> <li>EC328 Power Supply Unit</li> <li>EC328 Digital Control Panel</li> <li>5 metre length Data Control Lead</li> <li>EC328 DIY 230V &amp; 12V Harness complete with External Temperature Probe and Fresh and Waste Water Sensors&nbsp;</li> </ul> <h3>Downloads:</h3> <table border=""0""> <tbody> <tr> <td><a title=""EC328 User Instructions"" href=""https://www.jacksonsleisure.com/content/pdf/Sargent/EC328-User-Instructions.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""downloadmanual.jpg"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/download-manual.jpg"" alt=""downloadmanual.jpg"" width=""171"" height=""62"" /></a></td> </tr> <tr> <td style=""text-align: center;"">User Installation Guide</td> </tr> </tbody> </table>",649.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"The EC328 Electrical Kit is sent on a next working day delivery!",none,0,0,"Caravan, Campervan & Motorhome/Electrical;Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Electrical/Power Management System",5984,y/634/ec328_kit__77649.jpg,,Y,0,2953,h/543/EC328__44484.jpg,"Sargent EC328 Complete Caravan & Motorhome Electrical Kit",N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ec328, electrical, kit, power, management, system, 328, sergeant,sergent","Sargent EC328 Complete PMS (Power Management System) Caravan & Motorhome Electrical Kit","sargent, ec328, pms, power, management, system, electrical, kit, caravan, motorhome, PSU, supply, unit,","The Sargent EC328 Complete PMS (Power Management System) Electrical Kit for Caravans & Motorhomes, sent on a Next Working Day delivery",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/sargent-ec328-complete-caravan-motorhome-electrical-kit/,,,,,
Product,987,"Royal Traveller Annexe Campervan Drive Away Awning",P,100864,,Royal,"Royal Annexe Traveller",Right,"<p><!--[if gte mso 9]><xml>  <w:WordDocument>   <w:View>Normal</w:View>   <w:Zoom>0</w:Zoom>   <w:PunctuationKerning/>   <w:ValidateAgainstSchemas/>   <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid>   <w:IgnoreMixedContent>false</w:IgnoreMixedContent>   <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText>   <w:Compatibility>    <w:BreakWrappedTables/>    <w:SnapToGridInCell/>    <w:WrapTextWithPunct/>    <w:UseAsianBreakRules/>    <w:DontGrowAutofit/>   </w:Compatibility>   <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel>  </w:WordDocument> </xml><![endif]--></p> <p><!--[if gte mso 9]><xml>  <w:LatentStyles DefLockedState=""false"" LatentStyleCount=""156"">  </w:LatentStyles> </xml><![endif]--><!--[if gte mso 10]> <style>  /* Style Definitions */  table.MsoNormalTable 	{mso-style-name:""Table Normal""; 	mso-tstyle-rowband-size:0; 	mso-tstyle-colband-size:0; 	mso-style-noshow:yes; 	mso-style-parent:""""; 	mso-padding-alt:0cm 5.4pt 0cm 5.4pt; 	mso-para-margin:0cm; 	mso-para-margin-bottom:.0001pt; 	mso-pagination:widow-orphan; 	font-size:10.0pt; 	font-family:""Times New Roman""; 	mso-ansi-language:#0400; 	mso-fareast-language:#0400; 	mso-bidi-language:#0400;} </style> <![endif]--></p> <h1 class=""MsoNormal"">Royal Traveller Annexe Campervan Drive Away Awning</h1> <p class=""MsoNormal"">Designed for easy access, comfort and durability the Royal Traveller Annexe Drive Away Campervan Awning is a spacious tent perfect for short breaks, camping trips and festivals which also provides easy, private access to your camper van, caravan or motorhome.</p> <p class=""MsoNormal"">With a detachable footprint groundsheet and living area, and double entrance for easy access, the Royal Traveller Annexe Drive Away Awning is optimised for total comfort and also comes with an optional 2 berth inner tent for added shelter.</p> <p class=""MsoNormal"">The large front door of the Royal Traveller Annexe Drive Away Campervan Awning can be used as a sun canopy (poles included), whilst the storage bag supplied makes this comfortable and simple to erect the Royal Annexe drive away awning is easy to transport also.</p> <h3 class=""MsoNormal"">Royal Traveller Annexe Drive Away Campervan Awning features</h3> <ul> <li>Easy access living area with double entrance</li> <li>Mud flaps provide extra protection against the elements</li> <li>Adjustable flysheet tensioners for improved stability</li> <li>Pitches flysheet first</li> <li>Royal Annexe Campervan Awning features a detachable footprint groundsheet</li> <li>Easy to erect</li> <li>Large front door which doubles up as a sun canopy</li> <li>Large clear windows</li> <li>Carry bag included</li> </ul> <p><!--[if gte mso 9]><xml>  <w:WordDocument>   <w:View>Normal</w:View>   <w:Zoom>0</w:Zoom>   <w:PunctuationKerning/>   <w:ValidateAgainstSchemas/>   <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid>   <w:IgnoreMixedContent>false</w:IgnoreMixedContent>   <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText>   <w:Compatibility>    <w:BreakWrappedTables/>    <w:SnapToGridInCell/>    <w:WrapTextWithPunct/>    <w:UseAsianBreakRules/>    <w:DontGrowAutofit/>   </w:Compatibility>   <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel>  </w:WordDocument> </xml><![endif]--></p> <p class=""MsoNormal""><!--[if gte mso 9]><xml>  <w:LatentStyles DefLockedState=""false"" LatentStyleCount=""156"">  </w:LatentStyles> </xml><![endif]--><!--[if gte mso 10]> <style>  /* Style Definitions */  table.MsoNormalTable 	{mso-style-name:""Table Normal""; 	mso-tstyle-rowband-size:0; 	mso-tstyle-colband-size:0; 	mso-style-noshow:yes; 	mso-style-parent:""""; 	mso-padding-alt:0cm 5.4pt 0cm 5.4pt; 	mso-para-margin:0cm; 	mso-para-margin-bottom:.0001pt; 	mso-pagination:widow-orphan; 	font-size:10.0pt; 	font-family:""Times New Roman""; 	mso-ansi-language:#0400; 	mso-fareast-language:#0400; 	mso-bidi-language:#0400;} </style> <![endif]--></p> <p class=""MsoNormal""><strong>Please note:</strong> Colours may vary.</p> <p>&nbsp;<img class=""__mce_add_custom__"" title=""Royal Annexe Campervan Drive Away Air Awning"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/royal-annexe-awning-dimensions.png"" alt=""Royal Annexe Campervan Drive Away Air Awning"" width=""438"" height=""438"" /></p> <p>&nbsp;</p>",189.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,N,N,"Currently out of stock!",none,0,0,"Caravan, Campervan & Motorhome;Awnings ",2965,r/202/royal_traveller_annexe__16653.png,"Royal Traveller Annexe Campervan Drive Away Awning (Colour may vary)",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Traveller, Annexe, Drive, Away, Awning, Campervan, Royal, Air","Royal Traveller Annexe Drive Away Campervan Air Awning","royal, traveller, annexe, drive, away, campervan, awning, tent,","Comfortable, durable & easy to erect the Royal Traveller Annexe Drive Away Awning is an ideal tent space alongside your campervan",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/royal-traveller-annexe-campervan-drive-away-awning/,,,,,"""Entrance doors=Front and side"";""Material thickness=190tpu"";""Hydrostatic head=1500mm"";Colour=grey;""Frame=Fibreglass & aluminium"";""Dimensions (W x D x H)=340 x 315 x 210cm"""
Product,995,"Igloo 36 Litre Contour Glide Cooler Wheeled Cool Box",P,45756,,Igloo,,Right,"<p><!--[if gte mso 9]><xml>  <w:WordDocument>   <w:View>Normal</w:View>   <w:Zoom>0</w:Zoom>   <w:PunctuationKerning/>   <w:ValidateAgainstSchemas/>   <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid>   <w:IgnoreMixedContent>false</w:IgnoreMixedContent>   <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText>   <w:Compatibility>    <w:BreakWrappedTables/>    <w:SnapToGridInCell/>    <w:WrapTextWithPunct/>    <w:UseAsianBreakRules/>    <w:DontGrowAutofit/>   </w:Compatibility>   <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel>  </w:WordDocument> </xml><![endif]--></p> <p><!--[if gte mso 9]><xml>  <w:LatentStyles DefLockedState=""false"" LatentStyleCount=""156"">  </w:LatentStyles> </xml><![endif]--><!--[if gte mso 10]> <style>  /* Style Definitions */  table.MsoNormalTable 	{mso-style-name:""Table Normal""; 	mso-tstyle-rowband-size:0; 	mso-tstyle-colband-size:0; 	mso-style-noshow:yes; 	mso-style-parent:""""; 	mso-padding-alt:0cm 5.4pt 0cm 5.4pt; 	mso-para-margin:0cm; 	mso-para-margin-bottom:.0001pt; 	mso-pagination:widow-orphan; 	font-size:10.0pt; 	font-family:""Times New Roman""; 	mso-ansi-language:#0400; 	mso-fareast-language:#0400; 	mso-bidi-language:#0400;} </style> <![endif]--></p> <h1 class=""MsoNormal"">Igloo 36 Litre Contour Glide Cooler Wheeled Cool Box</h1> <p class=""MsoNormal"">Keep your drinks cool and transport them to your destination easily and comfortably with the Igloo 36 Litre Contour Glide Cooler Wheeled Cool Box, designed to be one of the best coolers of its class with the latest technology optimising it for effortless transportation and continuously cool contents!</p> <h3 class=""MsoNormal"">A high quality cooler designed for easy transportation</h3> <p class=""MsoNormal"">Featuring moulded side handles to help you lift the cool box out of your vehicle with ease, the Igloo 36 Litre Contour Glide Wheeled Cooler also benefits from a horizontal telescopic handle providing maximum leverage to move even the heaviest load!</p> <p class=""MsoNormal"">Simply fill the Igloo 36 Litre Contour Glide Cooler with ice, add the beverages you wish to keep cool and you&rsquo;re ready to go! The Igloo 36 Litre Contour Glide Cool Box is perfect for camping trips, parties, picnics and festivals.</p> <h3 class=""MsoNormal"">Igloo 38 Quart Contour Glide Wheeled Cool Box features</h3> <ul> <li>36 Litre capacity</li> <li>Glide&trade; Slide &amp; Lock horizontal telescopic handle provides maximum leverage and lightens lifting loads</li> <li>Cool Riser Technology&trade; keeps the contents cold for a longer period of time, Durable wheels for easy transport</li> <li>Updated body design with honeycomb-textured sides</li> <li>Internal shelf/ledge for storing condiments and drinks away from ice</li> <li>Molded-in side handles</li> </ul> <p>&nbsp;<iframe src=""http://www.youtube.com/embed/GBez8dTj4GM?rel=0"" width=""523"" height=""431"" frameborder=""0""></iframe></p>",59.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,N,N,"Sold out.",none,0,0,"Fridges & Coolboxes/Cool Boxes;Fridges & Coolboxes/Cool Boxes/Camping Cool Boxes;Camping/Cooling;Camping/Cooling/Camping Cool Boxes",2971,a/814/Igloo_Contour_Glide_Cooler_38_Profile__36684.jpg,"Igloo 38 Quart Contour Glide Cooler Wheeled Cool Box",Y,0,2972,g/774/igloo_contour_glide_cooler_38__33298.jpg,"A 36 litre capacity high quality cooler",N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38, Quart, 38quart, 38 quart, 38 qt, Contour Glide, Cooler, Wheeled, Cool, Box, wheels, ","Igloo 38 Quart Contour Glide Cooler Wheeled Cool Box","igloo, 38 quart, 38 qt, contour glide, cooler, wheeled, cool, box, wheels, ","The Igloo 38 Quart Contour Glide Cooler is an easy to transport 36L capacity wheeled cool box sent on a Next Working Day delivery,",,,,New,N,N,,N,,,0,"Default Tax Class",0034223457563,N,/caravan-motorhome/igloo-36-litre-contour-glide-cooler-wheeled-cool-box/,,10034223457560,45756,,"""Exterior dimensions (W x D x H)=34 x 61 x 40cm"";Weight=4.6kg;""Capacity=36 Litres"""
Product,998,"Sargent PMS EC160 Camper Van Power Supply Unit",P,EC160-H,,Sargent,"Sargent EC160 Finish",Right,"<h1>Sargent PMS3 EC160 Power Supply Unit</h1> <p>A combined 240vAC and 12v DC distribution unit, the Sargent PMS3 EC160 Power Supply Unit is especially designed for caravan, motorhome, camper van and horsebox installations and is particularly ideal for T2, T25, T4 and T5 campers. The Sargent PMS3 EC160 Power Supply Unit is easy to install and straightforward.</p> <h2>Sargent PMS3 EC160 Power Supply Unit features</h2> <p><strong>230v AC</strong>:</p> <ul> <li>16A input via wired 2m lead</li> <li>RCD protected with reverse polarity indication</li> <li>Built in 150w 13.8v fixed voltage battery charger with on/off switch</li> <li>3 x 10A MCB outputs via quick fit connector blocks</li> </ul> <p><strong>12v DC</strong></p> <ul> <li>2 x 15A battery inputs via screw terminal block</li> <li>5 x outputs via screw terminal black</li> <li>Pump output via pump switch &amp; 5A fuse</li> <li>Lights output via lights / Aux switch &amp; Aux 10A fuse</li> <li>Permanent output via 5A fuse</li> <li>Fridge output VA 15A fuse</li> <li>Built in split charge relay (configurable)</li> <li>Built in EMC isolation relay (configurable)</li> <li>Digital voltmeter with on/off switch</li> </ul> <p>&nbsp;</p> <p><iframe src=""https://www.youtube.com/embed/r7UkXBcXd4Q"" width=""425"" height=""350"" frameborder=""0""></iframe></p> <p style=""text-align: center;"">&nbsp;</p> <p><a href=""https://www.jacksonsleisure.com/content/pdf/Sargent/Sargent%20EC160%20PMS3.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""download-manual.jpg"" src=""https://cdn2.bigcommerce.com/server1100/fkhd5nhp/product_images/uploaded_images/download-manual.jpg"" alt=""download-manual.jpg"" width=""202"" height=""73"" /></a></p>",205.00,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"The Sargent PMS3 EC160 Power Management System is sent on a next working day delivery.",none,99994,100,"Caravan, Campervan & Motorhome/Electrical;Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Conversion Equipment/Campervan Specific;Caravan, Campervan & Motorhome/Electrical/Power Management System",20406,x/288/EC160-sargent-psu-power-supply-horizontal__68479.jpg,"Sargent PMS3 EC160 Power Supply Unit",Y,0,5753,b/198/EC160_Interior_Logo___68074.jpg,,N,1,5752,l/826/Sargent_EC160_SS_Logo__23386.jpg,"Sargent PMS3 EC160 Power Supply Unit with a Brushed Stainless Steel front finish",N,2,7012,r/251/new-digital-sargent-ec160__92626.jpg,,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PMS3, EC160, Power, Supply, Unit, psu, pms, pms 3, ec 160,sergeant,sergent","Sargent PMS3 EC160 Caravan Camper Van Motorhome Power Management System Supply Unit","sargent, pms3, ec160, caravan, camper, van, campervan, motorhome, power, supply, unit, pms, management, system,","The Sargent PMS3 EC160 Power Management System the perfect supply unit for caravans, camper vans and motorhomes, sent Next Working Day!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/sargent/ec160/power/management/system/,,,,,"""Dimensions=Front Panel: (300x 150mm); Panel Cut Out (285 x 132mm); Depth (200mm);"";""Warranty=12 Months Manufacturers warranty"""
"  SKU",1707,"[CS]Color=Brushed Steel:#a19c9c",,EC160SH,,,,,,229.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",3887,[CS]Color=Black:#000000,,EC160H,,,,,,219.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",457,,,EC160SH,,,,,,[FIXED]229.95,,,,,,,,,,,Y,Y,,,,,,,457_source_1716301736.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",5158,,,EC160H,,,,,,[FIXED]219.95,,,,,,,,,,,Y,Y,,,,,,,5158_source_1716301744.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
